Current CPU threads: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

Sleeping for 5 seconds before running pidstat...

>>> [2/2] Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.19-amd64 (pavlik) 	05/01/2025 	_x86_64_	(32 CPU)

10:09:08 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
10:09:09 PM  1000         -     79366      4.07      0.81  |__TaskCon~ller #3
10:09:09 PM  1000         -     79367      9.76      0.00  |__TaskCon~ller #4
10:09:09 PM  1000         -     79368      7.32      0.81  |__TaskCon~ller #5
10:09:09 PM  1000         -     79369      0.81      0.00  |__TaskCon~ller #6
10:09:09 PM  1000         -     79370      7.32      3.25  |__TaskCon~ller #7
10:09:09 PM     0     83024         -      1.63      0.00  kworker/30:2-events
10:09:09 PM     0         -     83024      1.63      0.00  |__kworker/30:2-events
10:09:09 PM     0     88033         -      2.44      0.00  kworker/22:2-events
10:09:09 PM     0         -     88033      2.44      0.00  |__kworker/22:2-events
10:09:09 PM     0     96391         -      3.25      0.00  kworker/17:1-events
10:09:09 PM     0         -     96391      3.25      0.00  |__kworker/17:1-events
10:09:09 PM     0     97836         -      0.81      0.00  kworker/6:2-mm_percpu_wq
10:09:09 PM     0         -     97836      0.81      0.00  |__kworker/6:2-mm_percpu_wq
10:09:09 PM     0    100249         -      0.81      0.00  kworker/16:0-mm_percpu_wq
10:09:09 PM     0         -    100249      0.81      0.00  |__kworker/16:0-mm_percpu_wq
10:09:09 PM     0    109128         -      1.63      0.00  kworker/1:1-mm_percpu_wq
10:09:09 PM     0         -    109128      1.63      0.00  |__kworker/1:1-mm_percpu_wq
10:09:09 PM     0    112146         -      0.81      0.00  kworker/13:1-mm_percpu_wq
10:09:09 PM     0         -    112146      0.81      0.00  |__kworker/13:1-mm_percpu_wq
10:09:09 PM     0    117648         -      1.63      0.00  kworker/2:1-events
10:09:09 PM     0         -    117648      1.63      0.00  |__kworker/2:1-events
10:09:09 PM     0    119189         -      1.63      0.00  kworker/19:2-mm_percpu_wq
10:09:09 PM     0         -    119189      1.63      0.00  |__kworker/19:2-mm_percpu_wq
10:09:09 PM     0    124252         -      0.81      0.00  kworker/u130:3-events_unbound
10:09:09 PM     0         -    124252      0.81      0.00  |__kworker/u130:3-events_unbound
10:09:09 PM     0    145627         -     26.02      0.00  kworker/u129:2-events_unbound
10:09:09 PM     0         -    145627     26.02      0.00  |__kworker/u129:2-events_unbound
10:09:09 PM     0    149330         -    135.77      0.00  kworker/u128:1-comp_1.1.1
10:09:09 PM     0         -    149330    135.77      0.00  |__kworker/u128:1-comp_1.1.1
10:09:09 PM     0    153587         -      1.63      0.00  kworker/u132:14-ttm
10:09:09 PM     0         -    153587      1.63      0.00  |__kworker/u132:14-ttm
10:09:09 PM     0    154292         -     56.91      0.00  kworker/u128:2-gfx_0.0.0
10:09:09 PM     0         -    154292     56.91      0.00  |__kworker/u128:2-gfx_0.0.0
10:09:09 PM  1000    155206         -      0.00     36.59  stress-ng-cpu
10:09:09 PM  1000         -    155206      0.00     36.59  |__stress-ng-cpu
10:09:09 PM  1000    155207         -      0.00     15.45  stress-ng-cpu
10:09:09 PM  1000         -    155207      0.00     15.45  |__stress-ng-cpu
10:09:09 PM  1000    155208         -      0.00      3.25  stress-ng-cpu
10:09:09 PM  1000         -    155208      0.00      3.25  |__stress-ng-cpu
10:09:09 PM  1000    155209         -      0.00     20.33  stress-ng-cpu
10:09:09 PM  1000         -    155209      0.00     20.33  |__stress-ng-cpu
10:09:09 PM  1000    155210         -      0.00     14.63  stress-ng-cpu
10:09:09 PM  1000         -    155210      0.00     14.63  |__stress-ng-cpu
10:09:09 PM  1000    155211         -      0.00     42.28  stress-ng-cpu
10:09:09 PM  1000         -    155211      0.00     42.28  |__stress-ng-cpu
10:09:09 PM  1000    155212         -      0.00      3.25  stress-ng-cpu
10:09:09 PM  1000         -    155212      0.00      3.25  |__stress-ng-cpu
10:09:09 PM  1000    155213         -      0.00     86.99  stress-ng-cpu
10:09:09 PM  1000         -    155213      0.00     86.99  |__stress-ng-cpu
10:09:09 PM  1000    155214         -      0.00    189.43  stress-ng-cpu
10:09:09 PM  1000         -    155214      0.00    189.43  |__stress-ng-cpu
10:09:09 PM  1000    155215         -      0.00      4.88  stress-ng-cpu
10:09:09 PM  1000         -    155215      0.00      4.88  |__stress-ng-cpu
10:09:09 PM  1000    155216         -      0.00     52.03  stress-ng-cpu
10:09:09 PM  1000         -    155216      0.00     52.03  |__stress-ng-cpu
10:09:09 PM  1000    155217         -      0.00     46.34  stress-ng-cpu
10:09:09 PM  1000         -    155217      0.00     46.34  |__stress-ng-cpu
10:09:09 PM  1000    155218         -      0.00     21.95  stress-ng-cpu
10:09:09 PM  1000         -    155218      0.00     21.95  |__stress-ng-cpu
10:09:09 PM  1000    155219         -      0.00     39.02  stress-ng-cpu
10:09:09 PM  1000         -    155219      0.00     39.02  |__stress-ng-cpu
10:09:09 PM  1000    155220         -      0.00     28.46  stress-ng-cpu
10:09:09 PM  1000         -    155220      0.00     28.46  |__stress-ng-cpu
10:09:09 PM  1000    155221         -      0.00     15.45  stress-ng-cpu
10:09:09 PM  1000         -    155221      0.00     15.45  |__stress-ng-cpu
10:09:09 PM  1000    155222         -      0.00     27.64  stress-ng-cpu
10:09:09 PM  1000         -    155222      0.00     27.64  |__stress-ng-cpu
10:09:09 PM  1000    155223         -      0.00    153.66  stress-ng-cpu
10:09:09 PM  1000         -    155223      0.00    153.66  |__stress-ng-cpu
10:09:09 PM  1000    155224         -      0.00     29.27  stress-ng-cpu
10:09:09 PM  1000         -    155224      0.00     29.27  |__stress-ng-cpu
10:09:09 PM  1000    155225         -      0.00     22.76  stress-ng-cpu
10:09:09 PM  1000         -    155225      0.00     22.76  |__stress-ng-cpu
10:09:09 PM  1000    155226         -      0.00     39.02  stress-ng-cpu
10:09:09 PM  1000         -    155226      0.00     39.02  |__stress-ng-cpu
10:09:09 PM  1000    155227         -      0.00     18.70  stress-ng-cpu
10:09:09 PM  1000         -    155227      0.00     18.70  |__stress-ng-cpu
10:09:09 PM  1000    155228         -      0.00     33.33  stress-ng-cpu
10:09:09 PM  1000         -    155228      0.00     33.33  |__stress-ng-cpu
