1747349641 LOGGER STARTED
Sample #63, Timestamp: 1747349694, CPU_Temperature: 63°C, cpu0: 3642672kHz, cpu1: 3642670kHz, cpu10: 3642665kHz, cpu11: 3642672kHz, cpu2: 3642659kHz, cpu3: 3642664kHz, cpu4: 3642478kHz, cpu5: 3642664kHz, cpu6: 3642668kHz, cpu7: 3642657kHz, cpu8: 3642677kHz, cpu9: 3642255kHz, 
Sample #64, Timestamp: 1747349695, CPU_Temperature: 63°C, cpu0: 3642673kHz, cpu1: 3642664kHz, cpu10: 3642233kHz, cpu11: 3642674kHz, cpu2: 3642657kHz, cpu3: 3642678kHz, cpu4: 3642671kHz, cpu5: 3642664kHz, cpu6: 3642668kHz, cpu7: 3642669kHz, cpu8: 3642660kHz, cpu9: 3642246kHz, 
Sample #65, Timestamp: 1747349695, CPU_Temperature: 63°C, cpu0: 3642680kHz, cpu1: 3642657kHz, cpu10: 3642670kHz, cpu11: 3642671kHz, cpu2: 3642679kHz, cpu3: 3642607kHz, cpu4: 3642102kHz, cpu5: 3642671kHz, cpu6: 3642666kHz, cpu7: 3642667kHz, cpu8: 3642670kHz, cpu9: 3642659kHz, 
Sample #66, Timestamp: 1747349696, CPU_Temperature: 63°C, cpu0: 3642657kHz, cpu1: 3642666kHz, cpu10: 3642232kHz, cpu11: 3642673kHz, cpu2: 3642666kHz, cpu3: 3642231kHz, cpu4: 3642658kHz, cpu5: 3642662kHz, cpu6: 3642668kHz, cpu7: 3642669kHz, cpu8: 3642664kHz, cpu9: 3642267kHz, 
Sample #67, Timestamp: 1747349697, CPU_Temperature: 63°C, cpu0: 3642676kHz, cpu1: 3642659kHz, cpu10: 3642662kHz, cpu11: 3642679kHz, cpu2: 3642663kHz, cpu3: 3642519kHz, cpu4: 3642606kHz, cpu5: 3642328kHz, cpu6: 3642666kHz, cpu7: 3642667kHz, cpu8: 3642669kHz, cpu9: 3642319kHz, 
Sample #68, Timestamp: 1747349697, CPU_Temperature: 63°C, cpu0: 3642664kHz, cpu1: 3642672kHz, cpu10: 3642667kHz, cpu11: 3642665kHz, cpu2: 3642667kHz, cpu3: 3642668kHz, cpu4: 3642661kHz, cpu5: 3642673kHz, cpu6: 3642676kHz, cpu7: 3642667kHz, cpu8: 3642671kHz, cpu9: 3642297kHz, 
Sample #69, Timestamp: 1747349698, CPU_Temperature: 63°C, cpu0: 3642678kHz, cpu1: 3642670kHz, cpu10: 3642663kHz, cpu11: 3642661kHz, cpu2: 3642676kHz, cpu3: 3642230kHz, cpu4: 3642662kHz, cpu5: 3642669kHz, cpu6: 3642672kHz, cpu7: 3642668kHz, cpu8: 3642668kHz, cpu9: 3642666kHz, 
Sample #70, Timestamp: 1747349699, CPU_Temperature: 63°C, cpu0: 3642673kHz, cpu1: 3642667kHz, cpu10: 3642662kHz, cpu11: 3642674kHz, cpu2: 3642664kHz, cpu3: 3642674kHz, cpu4: 3642508kHz, cpu5: 3642676kHz, cpu6: 3642663kHz, cpu7: 3642660kHz, cpu8: 3642653kHz, cpu9: 3642681kHz, 
Sample #71, Timestamp: 1747349700, CPU_Temperature: 63°C, cpu0: 3642668kHz, cpu1: 3642667kHz, cpu10: 3642337kHz, cpu11: 3642070kHz, cpu2: 3642669kHz, cpu3: 3642664kHz, cpu4: 3642504kHz, cpu5: 3642670kHz, cpu6: 3642659kHz, cpu7: 3642656kHz, cpu8: 3642682kHz, cpu9: 3641716kHz, 
Sample #72, Timestamp: 1747349701, CPU_Temperature: 63°C, cpu0: 3642658kHz, cpu1: 3642670kHz, cpu10: 3642674kHz, cpu11: 3642675kHz, cpu2: 3642665kHz, cpu3: 3642559kHz, cpu4: 3642667kHz, cpu5: 3642665kHz, cpu6: 3642669kHz, cpu7: 3642665kHz, cpu8: 3642673kHz, cpu9: 3642460kHz, 
