Current logical CPUs: 16
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/15/25 	_x86_64_	(16 CPU)

22:11:11      UID      TGID       TID   cswch/s nvcswch/s  Command
22:11:15        0     10008         -      0.99      0.00  kworker/5:2-mm_percpu_wq
22:11:15        0         -     10008      0.99      0.00  |__kworker/5:2-mm_percpu_wq
22:11:15        0     10020         -      0.99      0.00  kworker/15:5-mm_percpu_wq
22:11:15        0         -     10020      0.99      0.00  |__kworker/15:5-mm_percpu_wq
22:11:15        0     10365         -      7.92      0.00  kworker/14:6-events
22:11:15        0         -     10365      7.92      0.00  |__kworker/14:6-events
22:11:15        0     10398         -      0.00      3.96  stress-ng-cpu
22:11:15        0         -     10398      0.00      3.96  |__stress-ng-cpu
22:11:15        0     10399         -      0.00      0.99  stress-ng-cpu
22:11:15        0         -     10399      0.00      0.99  |__stress-ng-cpu
22:11:15        0     10400         -      0.00      8.91  stress-ng-cpu
22:11:15        0         -     10400      0.00      8.91  |__stress-ng-cpu
22:11:15        0     10401         -      0.00      0.99  stress-ng-cpu
22:11:15        0         -     10401      0.00      0.99  |__stress-ng-cpu
22:11:15        0     10402         -      0.00      0.99  stress-ng-cpu
22:11:15        0         -     10402      0.00      0.99  |__stress-ng-cpu
22:11:15        0     10403         -      0.00      0.99  stress-ng-cpu
22:11:15        0         -     10403      0.00      0.99  |__stress-ng-cpu
22:11:15        0     10404         -      0.00     16.83  stress-ng-cpu
22:11:15        0         -     10404      0.00     16.83  |__stress-ng-cpu
22:11:15        0     10405         -      0.00      3.96  stress-ng-cpu
22:11:15        0         -     10405      0.00      3.96  |__stress-ng-cpu
22:11:15        0     10406         -      0.00      2.97  stress-ng-cpu
22:11:15        0         -     10406      0.00      2.97  |__stress-ng-cpu
22:11:15        0     10407         -      0.00      6.93  stress-ng-cpu
22:11:15        0         -     10407      0.00      6.93  |__stress-ng-cpu
22:11:15        0     10408         -      0.00      3.96  stress-ng-cpu
22:11:15        0         -     10408      0.00      3.96  |__stress-ng-cpu
22:11:15        0     10409         -      0.00      1.98  stress-ng-cpu
22:11:15        0         -     10409      0.00      1.98  |__stress-ng-cpu
22:11:15        0     10410         -      0.00      3.96  stress-ng-cpu
22:11:15        0         -     10410      0.00      3.96  |__stress-ng-cpu
22:11:15        0     10411         -      0.00      7.92  stress-ng-cpu
22:11:15        0         -     10411      0.00      7.92  |__stress-ng-cpu
22:11:15        0     10412         -      0.00      1.98  stress-ng-cpu
22:11:15        0         -     10412      0.00      1.98  |__stress-ng-cpu
22:11:15        0     10413         -      0.00      1.98  stress-ng-cpu
22:11:15        0         -     10413      0.00      1.98  |__stress-ng-cpu
22:11:15        0     10416         -      0.99     10.89  pidstat
22:11:15        0         -     10416      0.99     10.89  |__pidstat

22:11:15      UID      TGID       TID   cswch/s nvcswch/s  Command
22:11:16        0        17         -      1.00      0.00  ksoftirqd/0
22:11:16        0         -        17      1.00      0.00  |__ksoftirqd/0
22:11:16        0        18         -     13.00      0.00  rcu_preempt
22:11:16        0         -        18     13.00      0.00  |__rcu_preempt
22:11:16        0        94         -      3.00      0.00  kworker/1:0-mm_percpu_wq
22:11:16        0         -        94      3.00      0.00  |__kworker/1:0-mm_percpu_wq
22:11:16        0       136         -      2.00      0.00  kcompactd0
22:11:16        0         -       136      2.00      0.00  |__kcompactd0
22:11:16        0       142         -     27.00      0.00  irq/9-acpi
22:11:16        0         -       142     27.00      0.00  |__irq/9-acpi
22:11:16        0       292         -     14.00      3.00  kworker/0:1H-acpi_thermal_pm
22:11:16        0         -       292     14.00      3.00  |__kworker/0:1H-acpi_thermal_pm
22:11:16        0       915         -      4.00      0.00  kworker/0:4-kacpi_notify
22:11:16        0         -       915      4.00      0.00  |__kworker/0:4-kacpi_notify
22:11:16        0       916         -      1.00      0.00  kworker/14:2H-kblockd
22:11:16        0         -       916      1.00      0.00  |__kworker/14:2H-kblockd
22:11:16        0       923         -     10.00      0.00  kworker/0:7-kacpi_notify
22:11:16        0         -       923     10.00      0.00  |__kworker/0:7-kacpi_notify
22:11:16        0       928         -     23.00     30.00  kworker/0:12-kacpi_notify
22:11:16        0         -       928     23.00     30.00  |__kworker/0:12-kacpi_notify
22:11:16        0       929         -      2.00      0.00  kworker/0:13-kacpi_notify
22:11:16        0         -       929      2.00      0.00  |__kworker/0:13-kacpi_notify
22:11:16        0       972         -      5.00      0.00  kworker/0:15-kacpi_notify
22:11:16        0         -       972      5.00      0.00  |__kworker/0:15-kacpi_notify
22:11:16        0      1015         -     17.00      5.00  kworker/0:16-kec_query
22:11:16        0         -      1015     17.00      5.00  |__kworker/0:16-kec_query
22:11:16        0      1115         -      1.00      0.00  kworker/13:0-mm_percpu_wq
22:11:16        0         -      1115      1.00      0.00  |__kworker/13:0-mm_percpu_wq
22:11:16        0      1502         -      8.00      0.00  kworker/0:18-kacpi_notify
22:11:16        0         -      1502      8.00      0.00  |__kworker/0:18-kacpi_notify
22:11:16        0      1503         -      3.00      3.00  kworker/u64:0-kec
22:11:16        0         -      1503      3.00      3.00  |__kworker/u64:0-kec
