Time (s),CPU Temp (°C),Avg CPU0–7 (GHz),Avg CPU8–15 (GHz)
601,66,0.92407425,0.825532625
602,58,1.02569725,0.893816625
603,60,1.88749825,1.4999984375
604,64,1.899999125,1.5250005
605,64,1.9006977083333334,1.5333353333333333
606,66,1.9000011875,1.6000040625
607,64,1.90047825,1.5875023750000001
608,64,1.899997875,1.5999993125
609,64,1.908846375,1.599998
610,64,1.7099584583333334,1.4291639583333333
611,62,1.0662575625,0.95000175
612,59,1.19332275,0.9562488124999999
613,57.714285714285715,2.0403824642857145,1.4866774107142857
614,56.666666666666664,1.075420625,0.972149625
615,55.833333333333336,1.0614874791666666,1.2703925
616,55,1.0081860625,0.9793714375
617,55,1.0203969583333334,0.9828436041666667
618,55,1.1343054791666667,1.0001085416666666
619,54,1.110097,1.0048470416666666
620,54,1.11908,0.9557024583333333
621,53.166666666666664,1.0781205208333333,0.973283625
622,52.166666666666664,1.088309875,0.9958935416666667
623,52,1.2726309166666667,1.2922703958333333
624,52,1.074165875,1.0087744791666666
625,51.5,1.1131870208333334,0.9291784166666667
626,51.333333333333336,1.2921235416666668,1.3592574375
627,51.666666666666664,1.0928353333333334,1.0041793541666666
628,50.833333333333336,1.0174936875,1.0719660833333333
629,50.166666666666664,1.1080612916666666,0.9917996875
630,51,0.9669157083333333,1.2220007291666668
631,50,1.0535492916666667,0.9227991458333333
632,51,1.1538433333333333,1.0072596875
633,50,1.3139002708333334,1.2232011875
634,50,0.9715398541666667,0.9472971458333334
635,50,1.0562871041666666,0.952406
636,50,1.0594014166666668,0.9263574583333334
637,50,0.98065825,1.0058346666666667
638,50,1.0759851875,0.9693981666666667
639,50,1.0416211666666666,1.0318242083333333
640,49.2,0.9881244,0.92501425
641,49,1.0518417083333333,1.0203841458333334
642,49,0.9838541666666667,1.1169211041666667
643,49,1.1377705833333334,1.3656032708333332
644,49,1.0061530625,0.9580061458333333
645,49,1.0357153333333333,0.914464125
646,48.333333333333336,0.9591155208333333,1.1534407708333334
647,47,1.0607394375,0.9922117708333333
648,47.333333333333336,1.0159331875,1.0204491875
649,48.333333333333336,1.0989196875,1.1089712291666667
650,48.333333333333336,0.9871685416666667,1.029891125
651,47.333333333333336,1.051418625,0.9990056041666666
652,48,0.95833735,0.9188542
653,47.833333333333336,0.9592777291666666,0.9836673958333333
654,47,0.9798659166666667,1.1301361458333332
655,49,1.04129425,1.0327051875
656,49,1.1173878541666666,1.069142625
657,47,1.0370526458333333,1.1263723333333333
658,47,1.1054544583333332,0.923275375
659,47,1.0192239583333333,1.2805946458333333
